Accession,Length,Protein,Geo_Location,Collection_Date
QOU86582,1273,surface glycoprotein,USA: WA,2020-03-18
QOU92414,1273,surface glycoprotein,USA: WA,2020-03-21
QOU93890,1273,surface glycoprotein,USA: WA,2020-03-15
QOU93902,1273,surface glycoprotein,USA: WA,2020-03-14
QOU93914,1273,surface glycoprotein,USA: WA,2020-03-14
QOU93926,1273,surface glycoprotein,USA: WA,2020-03-14
QOU95210,1273,surface glycoprotein,USA: WA,2020-03-16
QOU95222,1273,surface glycoprotein,USA: WA,2020-03-16
QOU95234,1273,surface glycoprotein,USA: WA,2020-03-16
QOU95246,1273,surface glycoprotein,USA: WA,2020-03-16
QOU95258,1273,surface glycoprotein,USA: WA,2020-03-16
QOU95270,1273,surface glycoprotein,USA: WA,2020-03-16
QOU96842,1273,surface glycoprotein,USA: WA,2020-03-16
QOU96854,1273,surface glycoprotein,USA: WA,2020-03-16
QOU96866,1273,surface glycoprotein,USA: WA,2020-03-16
QOU96878,1273,surface glycoprotein,USA: WA,2020-03-16
QOU96890,1273,surface glycoprotein,USA: WA,2020-03-16
QOR63525,1273,surface glycoprotein,"USA: Washington,King County",2020-09-11
QOR63537,1273,surface glycoprotein,"USA: Washington,King County",2020-09-16
QOR63561,1273,surface glycoprotein,"USA: Washington,King County",2020-09-17
QOR63585,1273,surface glycoprotein,"USA: Washington,King County",2020-09-18
QOR63597,1273,surface glycoprotein,"USA: Washington,King County",2020-09-19
QOR63609,1273,surface glycoprotein,"USA: Washington,King County",2020-09-19
QOR63621,1273,surface glycoprotein,"USA: Washington,King County",2020-09-20
QOR63633,1273,surface glycoprotein,"USA: Washington,King County",2020-09-20
QOR63657,1273,surface glycoprotein,"USA: Washington,King County",2020-09-21
QOR63681,1273,surface glycoprotein,"USA: Washington,King County",2020-09-22
QOR63717,1273,surface glycoprotein,"USA: Washington,King County",2020-09-22
QOR63741,1273,surface glycoprotein,"USA: Washington,King County",2020-09-24
QOR63789,1273,surface glycoprotein,"USA: Washington,King County",2020-09-24
QOR63825,1273,surface glycoprotein,"USA: Washington,King County",2020-10-01
QOR63837,1273,surface glycoprotein,"USA: Washington,King County",2020-10-01
QOR63909,1273,surface glycoprotein,"USA: Washington,King County",2020-10-04
QOR63945,1273,surface glycoprotein,USA: Washington,2020-09-27
QOR63993,1273,surface glycoprotein,"USA: Washington,King County",2020-09-29
QOR64005,1273,surface glycoprotein,"USA: Washington,King County",2020-09-29
QOR64017,1273,surface glycoprotein,"USA: Washington,King County",2020-10-01
QOR64029,1273,surface glycoprotein,"USA: Washington,King County",2020-10-01
QOR64041,1273,surface glycoprotein,"USA: Washington,King County",2020-10-01
QOR64065,1273,surface glycoprotein,"USA: Washington,King County",2020-10-02
QOR64089,1273,surface glycoprotein,"USA: Washington,King County",2020-10-02
QOR64137,1273,surface glycoprotein,"USA: Washington,King County",2020-10-04
QOR64149,1273,surface glycoprotein,"USA: Washington,King County",2020-10-04
QOR64161,1273,surface glycoprotein,"USA: Washington,King County",2020-10-05
QOR64221,1273,surface glycoprotein,"USA: Washington,King County",2020-10-05
QOI11499,1273,surface glycoprotein,USA: Washington,2020-09-15
QOI11511,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11523,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11535,1273,surface glycoprotein,USA: Washington,2020-09-09
QOI11547,1273,surface glycoprotein,USA: Washington,2020-09-16
