Accession,Length,Protein,Geo_Location,Collection_Date
QOW84876,1273,surface glycoprotein,USA: FL,2020-10-05
QOW84888,1273,surface glycoprotein,USA: FL,2020-10-05
QOW84852,1273,surface glycoprotein,USA: FL,2020-10-04
QOW84481,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84493,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84504,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84516,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84528,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84540,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84552,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84564,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84576,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84588,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84600,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84624,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84636,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84648,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84660,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84672,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84684,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84696,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84708,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84720,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84732,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84744,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84756,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84768,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84780,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84792,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84804,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84816,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84828,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84840,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84864,1273,surface glycoprotein,USA: FL,2020-10-02
QOW84195,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84314,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84325,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84337,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84349,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84361,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84373,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84385,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84397,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84409,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84421,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84433,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84445,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84457,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84469,1273,surface glycoprotein,USA: FL,2020-10-01
QOW84159,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84171,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84183,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84207,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84219,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84231,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84243,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84255,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84267,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84278,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84290,1273,surface glycoprotein,USA: FL,2020-09-30
QOW84302,1273,surface glycoprotein,USA: FL,2020-09-30
QOQ71085,1273,surface glycoprotein,USA: FL,2020-09-24
QOE87520,1273,surface glycoprotein,USA: FL,2020-09-16
QOE87532,1273,surface glycoprotein,USA: FL,2020-09-16
QOE87544,1273,surface glycoprotein,USA: FL,2020-09-16
QOE87556,1273,surface glycoprotein,USA: FL,2020-09-16
QOE87568,1273,surface glycoprotein,USA: FL,2020-09-16
QOE87484,1273,surface glycoprotein,USA: FL,2020-09-15
QOE87496,1273,surface glycoprotein,USA: FL,2020-09-15
QOE87580,1273,surface glycoprotein,USA: FL,2020-09-15
QOE87376,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87388,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87400,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87412,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87424,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87436,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87448,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87460,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87472,1273,surface glycoprotein,USA: FL,2020-09-14
QOE87508,1273,surface glycoprotein,USA: FL,2020-09-14
QOQ71515,1273,surface glycoprotein,USA: FL,2020-09-11
